German_Lemma,English_Lemma,Chinese_Lemma,POS
Abbitte,apology,道歉,NOUN
Abdruck,print,印记,NOUN
abermals,once again,再次,ADV
abfahren,depart,出发,VERB
abmachen,agree,约定,VERB
abschneiden,cut off,切断,VERB
absehen,apart from,撇开,VERB
absetzen,discontinue,停止,VERB
abziehen,deduct,扣除,VERB
Abkommen,agreement,协议,NOUN
Abkürzung,shortcut,捷径,NOUN
ablegen,put down,放下,VERB
ablenken,distract,分散注意力,VERB
abnorm,abnormal,反常的,ADJ
Absatz,paragraph / heel,段落 / 鞋跟,NOUN
abschalten,switch off,关掉,VERB
abspielen,play,播放,VERB
abstammen,descend from,起源于,VERB
Abstimmung,vote,投票,NOUN
Abteil,compartment,隔间,NOUN
Abwechslung,variety,变化,NOUN
Abwesenheit,absence,缺席,NOUN
Abzug,deduction,扣除,NOUN
achten,pay attention,注意,VERB
Adjektiv,adjective,形容词,NOUN
adlig,noble,贵族的,ADJ
adoptieren,adopt,收养,VERB
adressieren,address,写地址,VERB
Agentur,agency,机构,NOUN
Akademiker,academic,学者,NOUN
aktivieren,activate,激活,VERB
Akustik,acoustics,声学,NOUN
Akzeptanz,acceptance,接受,NOUN
Alarmanlage,alarm system,报警系统,NOUN
Außerirdischer,alien,外星人,NOUN
Alkoholiker,alcoholic,酗酒者,NOUN
Allerheiligen,All Saints' Day,诸圣节,NOUN
allmählich,gradual,逐渐的,ADJ
Alltag,everyday life,日常生活,NOUN
alphabetisch,alphabetical,字母顺序的,ADJ
Amt,office,办公室,NOUN
analysieren,to analyze,分析,VERB
Anblick,sight,景象,NOUN
anbrennen,to burn (food),烧焦,VERB
Andenken,souvenir,纪念品,NOUN
andererseits,on the other hand,另一方面,ADV
andermal,another time,改天,ADV
anfangs,at the beginning,起初,ADV
anfassen,to touch,触摸,VERB
Anfänger,beginner,初学者,NOUN
anbringen,to attach,安装,VERB
anfahren,to approach,靠近,VERB
angehen,tackle,处理,VERB
anheuern,hire,雇佣,VERB
Angehöriger,relative,亲属,NOUN
anklagen,accuse,指控,VERB
Angel,fishing rod,钓竿,NOUN
angeln,fish,钓鱼,VERB
anmelden,register,登记,VERB
angenehm,pleasant,令人愉快的,ADJ
anordnen,order,命令,VERB
anschießen,shoot,击伤,VERB
Angesicht,face,面容,NOUN
angesichts,in view of,鉴于,ADP
angespannt,tense,紧张的,ADJ
ansprechen,address,招呼,VERB
Angestellter,employee,雇员,NOUN
anweisen,instruct,指示,VERB
anzeigen,display,显示,VERB
angreifen,attack,攻击,VERB
Angreifer,attacker,攻击者,NOUN
Angst,fear,恐惧,NOUN
anhängen,attach,附加,VERB
Anhörung,hearing,听证会,NOUN
Annahme,assumption,假设,NOUN
